Position,Points,Rider,Team,Time/Gap,Grand Prix,Year,Event
,ND,O. JacqueO. Jacque,,27 Laps,Event ger,2002.0,ger
,ND,R. LaconiR. Laconi,,25 Laps,Event ger,2002.0,ger
,ND,T. HaradaT. Harada,,16 Laps,Event ger,2002.0,ger
,ND,S. GibernauS. Gibernau,,10 Laps,Event ger,2002.0,ger
,ND,D. KatoD. Kato,,10 Laps,Event ger,2002.0,ger
,ND,Y. KagayamaY. Kagayama,,10 Laps,Event ger,2002.0,ger
,,,,,,2002.0,ned
1.0,ND,V. RossiV. Rossi,,38:49.425,Event ned,2002.0,ned
2.0,ND,A. BarrosA. Barros,,+2.233,Event ned,2002.0,ned
3.0,ND,C. ChecaC. Checa,,+9.682,Event ned,2002.0,ned
4.0,ND,M. BiaggiM. Biaggi,,+13.308,Event ned,2002.0,ned
5.0,ND,T. UkawaT. Ukawa,,+32.386,Event ned,2002.0,ned
6.0,ND,K. JrK. Jr,,+33.278,Event ned,2002.0,ned
7.0,ND,J. HopkinsJ. Hopkins,,+35.463,Event ned,2002.0,ned
8.0,ND,S. NakanoS. Nakano,,+35.619,Event ned,2002.0,ned
9.0,ND,N. AbeN. Abe,,+37.443,Event ned,2002.0,ned
10.0,ND,J. GoorberghJ. Goorbergh,,+48.100,Event ned,2002.0,ned
11.0,ND,A. HofmannA. Hofmann,,+48.325,Event ned,2002.0,ned
12.0,ND,D. KatoD. Kato,,+49.371,Event ned,2002.0,ned
13.0,ND,T. HaradaT. Harada,,+51.758,Event ned,2002.0,ned
14.0,ND,O. JacqueO. Jacque,,+71.790,Event ned,2002.0,ned
15.0,ND,A. RyoA. Ryo,,+194.399,Event ned,2002.0,ned
,ND,N. AokiN. Aoki,,11 Laps,Event ned,2002.0,ned
,ND,J. McwilliamsJ. Mcwilliams,,8 Laps,Event ned,2002.0,ned
,ND,R. LaconiR. Laconi,,6 Laps,Event ned,2002.0,ned
,ND,S. GibernauS. Gibernau,,6 Laps,Event ned,2002.0,ned
,ND,L. CapirossiL. Capirossi,,4 Laps,Event ned,2002.0,ned
,ND,P. RibaP. Riba,,3 Laps,Event ned,2002.0,ned
,,,,,,2002.0,ita
1.0,ND,V. RossiV. Rossi,,43:40.837,Event ita,2002.0,ita
2.0,ND,M. BiaggiM. Biaggi,,+2.404,Event ita,2002.0,ita
3.0,ND,T. UkawaT. Ukawa,,+11.289,Event ita,2002.0,ita
4.0,ND,C. ChecaC. Checa,,+11.408,Event ita,2002.0,ita
5.0,ND,A. BarrosA. Barros,,+15.371,Event ita,2002.0,ita
6.0,ND,L. CapirossiL. Capirossi,,+20.010,Event ita,2002.0,ita
7.0,ND,N. AbeN. Abe,,+26.447,Event ita,2002.0,ita
8.0,ND,R. LaconiR. Laconi,,+30.333,Event ita,2002.0,ita
9.0,ND,O. JacqueO. Jacque,,+30.428,Event ita,2002.0,ita
10.0,ND,T. HaradaT. Harada,,+30.759,Event ita,2002.0,ita
