Rider_normalized,Team,Year,Conditions,Track Conditions,Humidity_num,GroundTemp_num,proba_podio
Petruccitech,Tech 3 KTM Factory Racing,2021,Clear,Dry,30.0,42.0,0.22333333333333333
Rossi,Petronas Yamaha SRT,2021,Clear,Dry,30.0,42.0,0.24666666666666667
Lecuona,Tech 3 KTM Factory Racing,2021,Clear,Dry,30.0,42.0,0.23333333333333334
Espargaro,Repsol Honda Team,2021,Clear,Dry,30.0,42.0,0.11333333333333333
Pirro,Pramac Racing,2021,Clear,Dry,30.0,42.0,0.21
Marquez,LCR Honda CASTROL,2021,Clear,Dry,30.0,42.0,0.24666666666666667
Savadori,Aprilia Racing Team Gresini,2021,Clear,Dry,30.0,42.0,0.05
Morbidelli,Petronas Yamaha SRT,2021,Clear,Dry,30.0,42.0,0.32
Marini,SKY VR46 Avintia,2021,Clear,Dry,30.0,42.0,0.02666666666666667
Bagnaia,Ducati Lenovo Team,2023,Partly Cloudy,Dry,53.0,45.0,0.43
Martin,Prima Pramac Racing,2023,Partly Cloudy,Dry,53.0,45.0,0.5633333333333334
Zarco,Prima Pramac Racing,2023,Partly Cloudy,Dry,53.0,45.0,0.5233333333333333
Marini,Mooney VR46 Racing Team,2023,Partly Cloudy,Dry,53.0,45.0,0.016666666666666666
Binder,Red Bull KTM Factory Racing,2023,Partly Cloudy,Dry,53.0,45.0,0.07666666666666666
Espargaro,Aprilia Racing,2023,Partly Cloudy,Dry,53.0,45.0,0.06333333333333334
Miller,Red Bull KTM Factory Racing,2023,Partly Cloudy,Dry,53.0,45.0,0.08
