y_true,y_pred
25.862,28.17367601652664
51.575,31.10858457556898
40.577,14.03710800170154
9.083,14.77416390899598
6.772,15.031383576507045
9.596,21.624842948976514
19.329,26.957214197744314
37.77,24.019171639282266
10.132,15.956192426345364
47.49,22.839105662786384
34.162,32.730013445793794
45.732,36.62794664618545
10.755,11.721502765218125
12.895,21.420886694854417
11.154,26.15679757118015
51.794,38.674090968485736
5.685,23.629829246327503
41.119,30.22092270033505
2.398,11.406869880390811
2.959,14.520658330333902
