y_true,y_pred
25.862,28.17367601652664
51.575,31.10858457556898
40.577,14.03710800170154
9.083,14.77416390899598
6.772,15.031383576507045
9.596,21.624842948976514
19.329,26.957214197744314
37.77,24.019171639282266
10.132,15.956192426345364
47.49,22.839105662786384
34.162,32.730013445793794
45.732,36.62794664618545
10.755,11.721502765218125
12.895,21.420886694854417
11.154,26.15679757118015
51.794,38.674090968485736
5.685,23.629829246327503
41.119,30.22092270033505
2.398,11.406869880390811
2.959,14.520658330333902
33.11,25.5337292541534
3.508,14.120564081053185
42.355,30.57681902441154
24.87,28.739476178783583
22.539,28.515484852480867
12.189,12.544799649384867
4.088,20.083842009629734
43.67,26.84113170978464
53.373,27.13311080061791
37.17,30.847732420520483
11.718,27.545485073690006
3.958,11.860769798743368
46.5,34.49198605077756
13.308,19.863676488080454
36.622,24.898344248549584
31.819,21.79241624556144
41.194,32.25677196446428
48.411,40.22704837291198
36.71,28.561797395724263
35.622,14.090695432860926
18.378,28.28782658461114
15.231,23.90782806020273
50.226,37.746351996148114
32.29,26.374540592293915
3.934,10.380070735612287
10.076,21.691040596917993
36.622,25.364866655921354
12.608,13.764430074651175
14.327,22.712759963374033
17.655,14.199043930253886
43.085,29.71939835173525
7.187,17.608741263837217
32.209,30.41957270257826
46.706,32.02833377105403
3.133,21.239904009908763
7.022,14.057155956559997
28.886,23.038269136998043
16.773,23.567592214308153
29.159,28.351836255605793
18.241,27.230483435128157
30.684,23.775781817425177
18.652,26.926842317407036
38.763,33.19777221879773
12.654,13.76111326553081
46.018,36.181749198648006
9.329,11.661449331833728
15.473,21.175769470981066
4.478,26.574578459351287
18.678,26.729489063760553
23.142,22.33547286591022
20.674,25.83485802334409
12.563,15.56962739723672
34.947,29.460727782867153
43.784,28.971041452696085
31.761,32.255415322883394
42.081,33.77047165007201
5.672,13.140463148242862
26.953,22.71800363099752
30.835,34.19470610067127
37.77,23.86729113618001
2.63,11.196105195442142
26.717,27.348071609360318
26.413,22.49624169696017
30.103,29.236300264918096
3.516,11.321858687285175
29.707,28.122788615287032
9.514,13.047716569635995
37.715,32.304135202134184
24.414,13.961168967564133
32.973,28.422272477395055
17.125,30.185147569782465
20.318,15.476014335431758
3.39,20.136810789849473
35.661,26.216772135882287
2.312,14.710145692397006
7.575,16.023572524587557
29.145,29.07191207376318
8.204,25.326539955391645
34.143,34.18571608877931
13.875,20.992888337485184
27.011,25.374579764201275
3.133,21.58259107872669
45.478,34.31895550860084
32.92,29.600492411181907
6.993,11.77394016958326
29.763,25.11949496506943
29.403,21.322980935723084
39.138,25.97827481091625
11.06,22.55127717303868
15.597,16.530521160343746
2.902,11.633638980574624
13.298,24.724908425994087
18.325,15.337396754256579
21.018,30.536290584487723
47.61,26.43783110666391
30.882,25.289802069032344
9.783,13.93923882533506
21.099,17.87169963415876
32.169,25.330184138860897
39.116,27.843855025476156
15.724,22.094975216951312
36.31,23.788830282414025
21.254,20.281958092179
32.378,40.084646862384545
19.159,18.93434075470944
19.269,26.042581593211874
23.89,28.2714629246473
41.792,24.487637519447343
40.229,29.456339458758475
10.312,24.674589436285114
18.685,12.762486215328718
42.115,12.967604369532301
32.209,31.80977073704576
19.16,20.116279639752392
21.546,20.89031727874851
4.576,18.931800674089423
7.768,28.18913794373165
2.233,24.34352665760548
47.896,33.44511892618523
17.071,14.74140448689028
3.298,8.748432823864247
2.592,16.198796089150264
45.609,24.575148457962975
37.561,33.99308361805211
9.321,13.718467138945172
18.196,29.887093410186356
4.488,14.869273793366476
45.71,37.64032296053037
30.851,24.94407801847654
2.347,9.76494614038484
2.935,21.587992183682147
25.795,16.43308851371939
11.227,22.57124284348444
18.596,16.29703050727194
18.685,14.77365603228059
34.799,29.629346057729794
16.034,16.864872656854594
51.502,30.75125269009983
30.459,28.924039574089374
48.662,27.427505921838378
38.168,31.02528878816203
17.063,11.98941884197884
2.63,11.612592586960153
12.651,14.673467190542574
23.027,16.362167807604198
37.571,30.41112218277155
36.453,25.365498411482807
19.867,30.48918355113523
39.573,21.28947851016913
29.043,26.602304377255773
34.755,34.8646373410117
47.73,26.41996109201617
4.314,12.700584156930836
19.11,14.89767642794295
12.711,14.746752513113904
20.046,31.59684959253478
21.206,13.91726602962868
26.262,20.164691713877975
5.557,12.696300903158928
6.38,13.550255998624005
46.199,33.95738754812434
12.613,22.260663495222367
8.437,10.291645119068567
38.763,32.97246795358242
24.743,16.237958198543932
52.791,22.745709764624962
27.776,18.045677605350775
5.936,18.225216668150093
52.107,43.56372250330309
23.96,25.445509344814933
15.578,14.238506890509932
23.313,20.892466528432106
45.177,44.268580872829816
30.302,26.83927810154567
9.857,18.85016160975761
20.404,28.11764216090663
43.297,39.77009097234488
23.174,21.852754879222726
25.817,26.03243170150574
39.579,34.40470564624427
22.504,28.577550770803153
29.465,34.633104620986074
30.852,29.951250730433763
35.165,29.972560452594298
