Algoritmo,MAE,RMSE
Random Forest,8.34624884992701,10.331431196453877
Linear Regression,11.347364556918446,13.646963508035226
SVR,11.781696610026183,14.03474348431646
KNN (k=7),8.910357349298101,11.321946979189631
Gradient Boosting,8.654784772735757,10.64410948369297
Decision Tree,9.008601370653603,11.587346197690625
