Algoritmo,Accuracy,F1-score,ROC AUC
Random Forest,0.890748031496063,0.7086614173228346,0.9111539502164503
Logistic Regression,0.5265748031496063,0.33101529902642557,0.5947307900432901
SVM,0.4950787401574803,0.3205298013245033,0.5825622294372295
KNN (k=7),0.8375984251968503,0.6466809421841542,0.9079308712121213
Gradient Boosting,0.8562992125984252,0.6490384615384616,0.8895664231601731
