y_true,y_pred
25.862,26.61773117210208
51.575,30.857928760774975
40.577,14.140780186795011
9.083,15.609818328034969
6.772,16.376092300527702
9.596,19.8266454868793
19.329,26.33589057795648
37.77,23.431238303747094
10.132,17.25597914740825
47.49,22.226643543344952
34.162,32.20417134282167
45.732,36.32565129086207
10.755,13.183408753372802
12.895,21.587689314513476
11.154,18.089176445095127
51.794,37.168811328546596
5.685,22.30513687647099
41.119,28.218090794487598
2.398,12.778259837170067
2.959,15.257068060147105
