Algoritmo,MAE,RMSE
Random Forest,8.40996257394101,10.375501237395863
Linear Regression,11.431192338925634,13.722106650151181
SVR,11.776519642248452,14.031400457348967
KNN (k=7),8.677599091659784,10.907756595997737
Gradient Boosting,8.576670837041076,10.616582694798435
