Year,Bagnaia,Bastianini,Iannoneducati,Lorenzo,Martin,Pedrosa
2014,,,,0.9239503535528856,,0.7545667124010158
2016,,,0.49347807172452546,0.9844527382274184,,0.31067139026791335
2017,,,,0.06358406615395976,,
2018,,,,0.9738246284640291,,
2019,,,,0.0403537657009488,,
2023,0.7252964210969802,0.05132551167911868,,,0.8485184705780866,
2024,0.9810705600153734,0.9704868718388961,,,0.6738906922543692,
2025,0.8593363874892669,,,,,
