Rider_normalized,Team,Year,Conditions,Track Conditions,proba_podio
Hofmanna,,2003,,,0.0166997242323165
Hofmanna,,2004,,,0.022181070560340514
Hofmannpramac,Pramac d'Antin,2007,Sunny,Dry,0.03186926502299474
Hopkins,,2005,Partly Cloudy,Dry,0.015786098879505567
Hopkinsj,,2002,,,0.026764480805964785
Hopkinsrizla,Rizla Suzuki MotoGP,2006,Sunny,Dry,0.009207694421974508
Hopkinsrizla,Rizla Suzuki MotoGP,2007,Sunny,Dry,0.3486665445787894
Iannoneaprilia,Aprilia Racing Team Gresini,2019,Partly Cloudy,Dry,0.0071088989863298275
Iannoneducati,Ducati Team,2016,Clear,Dry,0.49347807172452546
Iannoneenergy,Energy T.I. Pramac Racing,2013,Partly Cloudy,Dry,0.00785569450075167
Iannonepramac,Pramac Racing,2014,Partly Cloudy,Dry,0.036334231072917
Iannoneteam,Team SUZUKI ECSTAR,2017,Partly Cloudy,Dry,0.01724515592422304
Iannoneteam,Team SUZUKI ECSTAR,2018,Clear,Dry,0.11072388832828611
Iodaracing,Came IodaRacing Project,2013,Partly Cloudy,Dry,0.007051221869992819
Jacquekawasaki,Kawasaki Racing Team,2007,Sunny,Dry,0.0073389525153201955
Jacqueo,,2002,,,0.04350843808184148
Jacqueo,,2003,,,0.031749770919695296
Jr,,2005,Partly Cloudy,Dry,0.01929369819507148
Kalliopramac,Pramac Racing,2009,Partly Cloudy,Wet,0.0104680414977252
Kalliored,Red Bull KTM Tech 3,2020,Clear,Dry,0.016753471101276438
Kiyonarir,,2003,,,0.018613433340146736
Laconir,,2002,,,0.01830069722705105
Lavertyaspar,Aspar Team MotoGP,2016,Clear,Dry,0.012057940308550683
Lavertypaul,Paul Bird Motorsport,2013,Partly Cloudy,Dry,0.005343369631512819
Lavertypaul,Paul Bird Motorsport,2014,Partly Cloudy,Dry,0.005940755104175177
Lecuona,Tech 3 KTM Factory Racing,2021,Clear,Dry,0.011421460451865317
Lorenzo,Fiat Yamaha Team,2009,Partly Cloudy,Wet,0.8701285690980765
Lorenzo,Fiat Yamaha Team,2010,,,0.9818021999469935
Lorenzo,Yamaha Factory Racing,2011,,,0.8641273214361377
Lorenzo,Yamaha Factory Racing,2012,Partly Cloudy,Dry,0.6462576390622503
Lorenzo,Yamaha Factory Racing,2013,Partly Cloudy,Dry,0.9801117582233897
Lorenzo,Movistar Yamaha MotoGP,2014,Partly Cloudy,Dry,0.9239503535528856
Lorenzo,Movistar Yamaha MotoGP,2016,Clear,Dry,0.9844527382274184
Lorenzo,Ducati Team,2017,Partly Cloudy,Dry,0.06358406615395976
Lorenzo,Ducati Team,2018,Clear,Dry,0.9738246284640291
Lorenzo,Repsol Honda Team,2019,Partly Cloudy,Dry,0.0403537657009488
Lowesaprilia,Aprilia Racing Team Gresini,2017,Partly Cloudy,Dry,0.007051221869992819
Marini,SKY VR46 Avintia,2021,Clear,Dry,0.006633576059594902
Marini,Mooney VR46 Racing Team,2023,Partly Cloudy,Dry,0.06723875370158416
Marini,Repsol Honda Team,2024,,,0.006791927862201791
Marquez,Repsol Honda Team,2014,Partly Cloudy,Dry,0.9302742176359436
Marquez,Repsol Honda Team,2016,Clear,Dry,0.8567977944236499
Marquez,Repsol Honda Team,2017,Partly Cloudy,Dry,0.648271239761447
Marquez,Repsol Honda Team,2018,Clear,Dry,0.05151652203827384
Marquez,Repsol Honda Team,2019,Partly Cloudy,Dry,0.8226925493348246
Marquez,Repsol Honda Team,2020,Clear,Dry,0.11718458621035997
Marquez,LCR Honda CASTROL,2021,Clear,Dry,0.016586102100630877
Marquez,Gresini Racing MotoGP,2024,,,0.42830050555444904
Marquez,Gresini Racing MotoGP,2024,,,0.3758257191876038
Marquez,Ducati Lenovo Team,2025,Clear,Dry,0.8647413018356386
Marquez,BK8 Gresini Racing MotoGP,2025,Clear,Dry,0.24278403640631327
Martin,Prima Pramac Racing,2023,Partly Cloudy,Dry,0.8485184705780866
Martin,Prima Pramac Racing,2024,,,0.6738906922543692
Mccoyg,,2003,,,0.022181070560340514
Mcwilliamsj,,2004,,,0.017202787293954747
Meglioavintia,Avintia Racing,2014,Partly Cloudy,Dry,0.006793313523709977
Melandri,,2005,Partly Cloudy,Dry,0.05196435056361701
Melandrifortuna,Fortuna Honda,2006,Sunny,Dry,0.3851419576819576
Melandrihayate,Hayate Racing Team,2009,Partly Cloudy,Wet,0.007104164867838161
Melandrihonda,Honda Gresini,2007,Sunny,Dry,0.11634796244943729
Melandrim,,2003,,,0.02025390479912407
Melandrim,,2004,,,0.07295383013294887
Melandrisan,San Carlo Honda Gresini,2010,,,0.040600931418463174
Miller,"EG 0,0 Marc VDS",2017,Partly Cloudy,Dry,0.008409251923452155
Miller,Pramac Racing,2020,Clear,Dry,0.9837833537549007
Miller,Ducati Lenovo Team,2021,Clear,Dry,0.33744071224470223
Miller,Red Bull KTM Factory Racing,2023,Partly Cloudy,Dry,0.044478729468457996
